time,mv
39.52,27.5
39.54,26.8
39.56,27.3
39.58,27
40.00,28
40.02,27
40.04,27.3
40.06,26.8
40.08,26.3
40.10,27.3
40.16,27
40.24,26.3
40.28,26.5
40.30,26.8
40.32,26.5
40.34,26
40.36,26.8
40.38,25.8
40.40,26.3
40.42,26
40.44,26.8
40.46,26
40.48,26.3
40.50,26.8
40.52,27.3
40.54,26.5
40.56,26.8
40.58,27
41.00,26.8
41.02,26.5
41.04,26.8
41.06,27.3
41.08,27.5
41.14,26.8
41.16,26.3
41.20,27
41.22,26.5
41.24,26.8
41.26,26.5
41.28,27
41.30,27.7
41.32,27.5
41.36,26.8
41.38,26.5
41.40,26.3
41.44,26.8
41.46,27
41.50,27.3
41.52,26.8
41.56,26.5
41.58,26.3
42.00,27
42.02,26.3
42.04,27.3
42.06,27
42.08,27.5
42.10,26.8
42.12,27.3
42.14,26.8
42.16,26.5
42.18,27
42.20,26.5
42.22,26.8
42.24,27.3
42.26,26.8
42.28,26.5
42.32,27
42.34,27.3
42.40,26.8
42.42,26.3
42.44,27.3
42.46,27.5
42.48,26.3
42.50,27.5
42.52,26.8
42.54,27.3
42.56,27
42.58,28
43.00,27
43.02,26.8
43.04,27
43.12,27.3
43.14,26.3
43.16,26.5
43.20,26.8
43.22,26.5
43.24,26.8
43.26,26
43.28,26.5
43.30,26.3
43.42,26
43.44,26.5
43.48,27.3
43.50,26.5
43.52,25.8
43.54,26.3
43.56,26.8
43.58,26.3
44.00,26
44.02,26.5
44.04,26.3
44.06,26.8
44.12,26.5
44.16,27
44.18,25.8
44.20,26.5
44.22,27.5
44.24,26.5
44.26,26
44.28,26.3
44.30,26
44.32,27
44.34,25.8
44.36,27
44.38,26
44.40,25.5
44.42,26.8
44.44,26
44.46,26.3
44.48,26
44.50,26.5
44.52,26.3
44.54,26.8
44.58,26.3
45.00,26
45.02,26.8
45.04,25.8
45.06,26.5
45.08,27.3
45.14,26.3
45.16,26
45.20,26.5
45.22,26.3
45.24,26.8
45.26,26.5
45.28,26.8
45.32,26.3
45.34,26.8
45.36,26.5
45.40,25.8
45.44,26.5
45.46,27.3
45.48,26.5
45.50,27.3
45.52,26.5
45.56,27
45.58,26
46.00,26.8
46.02,27.5
46.04,26.3
46.06,26.5
46.10,27
46.16,26.8
46.18,27.5
46.20,26.5
46.22,27
46.24,26.3
46.26,26.8
46.28,27.3
46.30,26.3
46.34,26
46.36,27
46.40,26
46.42,26.3
46.44,27
46.46,26
46.48,26.3
46.50,27
46.52,27.3
46.54,26.8
46.56,27.3
46.58,26.8
47.02,26.3
47.04,26.5
47.06,27.5
47.08,26.5
47.10,26.3
47.12,26.5
47.14,26.8
47.16,26.3
47.18,26.8
47.20,26.5
47.22,26.3
47.24,25.8
47.26,26.5
47.30,26.3
47.32,26.5
47.33,26.5
47.34,27
47.38,26.8
47.40,27
47.42,26.3
47.44,26
47.46,27.3
47.48,26
47.50,26.3
47.52,26.5
47.54,26.3
47.56,26.5
47.58,27
48.00,27.5
48.02,27
48.06,26.5
48.08,25.8
48.12,26.8
48.14,25.8
48.16,25.5
48.18,26.5
48.20,25.8
48.22,26.8
48.24,27
48.26,26.5
48.28,27
48.30,26
48.34,26.3
48.36,27.3
48.38,26.3
48.40,26
48.42,25.8
48.46,26
48.50,25.5
48.52,25.8
48.54,26
48.56,26.8
48.58,26.3
49.00,26
49.04,25.8
49.06,26
49.08,26.8
49.10,25.3
49.12,25.8
49.14,26.3
49.16,26
49.20,25.5
49.22,26.3
49.24,25.3
49.26,26.8
49.28,26.5
49.32,26.3
49.34,25.8
49.36,26.3
49.38,27
49.40,25.8
49.42,26
49.44,25.8
49.46,26.8
49.48,27
49.50,26
49.52,25.8
49.54,26.3
49.58,26.5
50.00,27.5
50.02,27
50.04,26.8
50.06,26.5
50.08,26.3
50.10,26.8
50.12,27
50.14,26.8
50.16,26.3
50.20,27.3
50.22,26.8
50.28,27.3
50.30,26.8
50.32,27
50.34,26.8
50.36,27
50.40,26
50.42,26.5
50.44,27
50.48,26
50.50,26.5
50.52,27
50.54,26.3
50.56,26
50.58,26.3
51.00,26.5
51.02,27.3
51.04,26.8
51.06,27.3
51.08,26.8
51.10,26.3
51.12,26
51.14,26.3
51.16,26
51.18,26.5
51.20,27
51.24,26.5
51.26,26.3
51.28,25.5
51.30,26.3
51.32,26.5
51.34,26.3
51.38,26
51.40,26.8
51.42,26.3
51.44,25.8
51.46,26.5
51.48,26.8
51.50,27
51.52,26.5
51.54,25.8
51.56,26.3
51.58,25.5
52.00,25.8
52.02,27.3
52.04,26.8
52.06,26.5
52.08,27
52.10,26.5
52.12,26.3
52.14,26.8
52.16,27
52.20,27.3
52.22,26.8
52.24,26.3
52.26,27
52.28,26.5
52.32,27
52.34,26.5
52.36,25.8
52.38,26.3
52.42,26.8
52.44,27
52.48,26.5
52.50,27
52.52,26.5
52.56,26.3
52.58,26.8
53.00,26.3
53.02,26.5
53.04,26.3
53.06,27
53.10,26.3
53.12,26.8
53.14,26.5
53.18,27
53.20,26.5
53.22,27
53.24,27.3
53.26,26.5
53.32,27
53.34,26.8
53.36,26.5
53.40,26
53.42,26.3
53.44,27
53.46,26.5
53.48,26
53.50,26.3
53.54,25.8
53.56,26.3
53.58,26
54.00,26.5
54.02,26
54.10,26.3
54.12,27
54.14,26.5
54.16,26
54.18,27.3
54.20,26.5
54.22,26.3
54.24,26.5
54.26,27
54.28,26.8
54.30,26.3
54.32,26
54.34,25.8
54.36,27
54.38,26.8
54.40,26.5
54.42,25.8
54.44,26.3
54.46,25.8
54.48,26.5
54.50,26.3
54.52,25.8
54.54,27
54.58,27.3
55.00,26.3
55.04,26.5
55.06,27
55.08,26.8
55.10,26
55.12,26.5
55.14,26.3
55.16,27
55.18,26.5
55.20,26.3
55.22,26.5
55.24,27.3
55.26,26.3
55.36,26.5
55.37,26.5
55.38,26.3
55.40,27
55.42,26.8
55.44,26.5
55.46,26
55.48,25.8
55.50,26.5
55.54,26.3
55.58,26
56.00,26.5
56.02,26.8
56.04,25.8
56.06,25.5
56.08,26
56.12,25.8
56.14,26.5
56.16,25.1
56.20,25.8
56.24,26
56.32,26.5
56.34,27
56.36,25.8
56.38,26.5
56.40,25.8
56.42,26
56.46,25.8
56.50,26.3
56.52,26.8
56.54,25.8
56.58,26
57.00,25.5
57.02,26
57.08,26.3
57.12,25.8
57.14,26.5
57.16,26
57.18,27
57.20,26.5
57.22,27.3
57.26,26.5
57.28,27
57.30,26.5
57.32,26
57.34,26.3
57.36,26.5
57.38,26
57.40,26.3
57.42,26.5
57.44,26.3
57.46,26.5
57.48,26.8
57.52,27
57.54,26.3
57.56,26.8
57.58,26
58.00,26.3
58.04,26.5
58.06,26.3
58.08,24.8
58.10,26.8
58.12,25.8
58.14,26.5
58.16,26
58.20,26.3
58.22,26.8
58.24,26.3
58.26,26.5
58.30,26.8
58.32,27.5
58.34,27.3
58.36,26.3
58.38,27
58.40,27.5
58.42,26.8
58.44,27.3
58.46,28.2
58.48,26.5
58.50,26.8
58.52,26.3
58.56,26.5
58.58,26.8
59.00,26.5
59.02,27
59.04,26.3
59.06,27
59.08,26
59.10,26.5
59.12,26.8
59.14,26
59.18,26.5
59.20,26.8
59.22,26.5
59.26,26.8
59.30,26.5
59.34,27
59.36,26
59.40,26.3
59.42,26
59.44,25.8
59.48,26.5
59.50,25.1
59.52,26.5
59.54,26
59.58,26.5
00.00,26
00.02,25.5
00.04,25.8
00.06,26
00.08,26.5
00.10,26.3
00.12,26.5
00.14,25.8
00.16,26.8
00.18,26.5
00.20,26.8
00.22,25.8
00.24,25.5
00.26,26
00.28,25.8
00.32,26
00.34,25.8
00.36,25.5
00.40,26.8
00.42,26
00.44,25.5
00.46,25.3
00.48,25.8
00.54,25.5
00.56,25.1
01.00,25.5
01.02,25.1
01.04,25.8
01.10,25.3
01.14,25.5
01.16,25.3
01.18,24.8
01.20,26
01.22,25.5
01.26,26
01.28,25.3
01.32,25.5
01.36,25.8
01.42,25.3
01.44,26.5
01.46,26.3
01.48,25.5
01.50,26.3
01.54,25.8
01.56,26.3
01.58,26
02.00,25.5
02.02,26.3
02.04,25.8
02.06,26.3
02.08,25.8
02.10,27
02.12,26.3
02.14,25.8
02.16,25.5
02.18,26
02.20,25.8
02.22,26.3
02.24,26.8
02.26,26
02.28,26.5
02.30,26
02.32,25.5
02.34,25.8
02.42,26
02.44,25.5
02.46,26
02.48,26.5
02.50,25.8
02.52,26
02.58,26.5
03.00,25.8
03.02,26.3
03.04,26
03.08,25.8
03.10,27
03.12,26.3
03.14,26
03.16,25.8
03.20,26.3
03.22,25.8
03.24,25.5
03.26,26.5
03.30,26
03.32,25.8
03.34,25.1
03.35,25.1
03.36,25.5
03.40,25.8
03.42,26.3
03.44,25.5
03.46,25.3
03.50,25.5
03.52,25.8
03.54,25.3
03.56,26
03.58,25.3
04.00,25.8
04.02,26
04.04,25.5
04.06,26.3
04.08,25.3
04.10,26
04.12,25.3
04.14,25.1
04.16,25.5
04.18,26
04.22,25.1
04.26,25.8
04.28,25.5
04.30,25.8
04.34,25.3
04.36,25.5
04.38,25.8
04.40,25.3
04.46,25.5
04.48,25.3
04.52,25.8
04.54,26.5
04.56,26.3
04.58,26
05.02,26.3
05.04,25.3
05.06,25.5
05.12,25.3
05.14,26.3
05.16,26.5
05.18,25.5
05.20,25.8
05.22,25.3
05.24,25.8
05.26,25.5
05.30,24.3
05.32,25.8
05.34,26
05.36,25.8
05.42,26.5
05.46,26
05.48,25.1
05.50,25.8
05.52,25.5
05.54,25.3
05.56,26
05.58,25.5
06.02,26.3
06.04,25.5
06.08,25.1
06.10,25.3
06.12,25.5
06.14,25.8
06.16,25.3
06.18,25.1
06.20,25.5
06.22,25.3
06.26,25.8
06.28,26
06.30,25.3
06.34,25.5
06.36,24.8
06.38,25.5
06.40,25.3
06.42,25.5
06.44,25.3
06.48,26
06.52,25.8
06.54,25.5
06.58,25.3
07.00,25.8
07.02,25.3
07.04,25.8
07.08,26
07.10,25.1
07.14,25.5
07.16,25.3
07.18,26
07.20,26.3
07.22,25.5
07.28,26.5
07.30,26.3
07.32,25.8
07.36,26.3
07.38,26
07.40,25.5
07.42,26.3
07.44,25.8
07.46,25.3
07.48,25.8
07.50,26.3
07.54,25.8
07.56,26
08.00,25.5
08.04,26
08.06,26.3
08.08,25.8
08.10,25.5
08.12,25.8
08.14,25.5
08.16,25.3
08.18,26.3
08.22,25.8
08.24,25.5
08.26,25.8
08.28,26.8
08.30,26
08.34,25.5
08.36,26
08.38,26.3
08.40,25.3
08.44,24.8
08.46,25.3
08.50,25.8
08.56,26
08.58,25.3
09.00,25.5
09.02,26
09.04,25.8
09.06,25.3
09.08,26.3
09.10,25.3
09.14,25.8
09.16,25.3
09.18,25.5
09.22,25.8
09.24,25.5
09.26,26.3
09.28,25.8
09.30,26.8
09.32,25.3
09.34,24.6
09.36,25.1
09.38,25.5
09.40,26
09.42,25.3
09.46,26
09.48,25.5
09.52,26.5
09.54,26.3
09.56,25.8
09.58,26
10.00,25.5
10.02,26
10.04,25.8
10.06,26
10.08,25.5
10.10,25.3
10.12,26
10.14,25.5
10.18,25.1
10.22,25.5
10.24,25.8
10.26,25.5
10.28,24.8
10.30,25.1
10.34,25.8
10.38,25.3
10.40,25.5
10.44,26.3
10.46,25.3
10.48,25.8
10.50,24.8
10.52,25.5
10.54,25.3
10.56,25.1
11.00,25.8
11.02,25.1
11.04,26
11.06,25.5
11.08,25.8
11.12,25.1
11.14,25.8
11.16,26
11.20,25.5
11.22,25.1
11.24,25.8
11.26,26.8
11.28,25.3
11.30,25.8
11.32,26
11.34,25.5
11.36,26.3
11.37,26.3
11.38,26.5
11.40,26.3
11.42,26.8
11.44,25.5
11.46,25.3
11.48,26
11.50,25.5
11.52,25.8
11.56,25.5
11.58,25.1
12.00,25.5
12.02,25.3
12.04,25.1
12.06,25.3
12.08,25.5
12.10,26
12.12,25.8
12.14,25.1
12.16,25.3
12.18,25.5
12.22,25.1
12.24,25.8
12.26,26.5
12.28,25.1
12.30,24.8
12.32,25.1
12.34,25.8
12.36,26.3
12.38,25.5
12.40,25.8
12.44,26
12.46,26.3
12.50,25.8
12.52,25.3
12.54,25.8
13.00,25.5
13.02,25.1
13.04,25.3
13.06,25.8
13.08,26
13.10,25.1
13.12,25.3
13.14,25.1
13.16,26
13.18,25.8
13.20,25.5
13.22,26
13.24,26.3
13.26,25.1
13.28,25.8
13.30,26
13.32,26.3
13.34,26
13.36,25.3
13.38,25.8
13.40,25.3
13.42,25.8
13.44,26
13.46,25.8
13.48,25.5
13.50,25.8
13.52,26
13.54,25.3
13.56,25.1
13.58,25.8
14.02,25.3
14.04,26
14.06,26.3
14.08,25.8
14.10,25.5
14.12,25.3
14.14,25.8
14.16,26
14.18,25.5
14.20,25.1
14.22,25.5
14.26,25.1
14.28,24.8
14.30,25.1
14.34,25.5
14.36,25.1
14.38,24.8
14.40,25.3
14.42,24.6
14.44,25.1
14.46,24.6
14.50,25.1
14.52,24.6
14.54,25.1
14.56,25.8
14.58,24.6
15.00,25.1
15.02,25.3
15.04,25.1
15.08,25.3
15.12,25.5
15.14,25.1
15.18,25.8
15.20,25.3
15.22,25.8
15.24,25.5
15.26,25.3
15.28,25.8
15.30,26.3
15.32,25.8
15.34,26.5
15.36,26.3
15.38,25.3
15.40,26
15.42,25.3
15.44,24.8
15.46,25.3
15.48,24.8
15.50,25.1
15.54,26.3
15.56,25.3
15.58,25.8
16.00,25.5
16.02,24.8
16.04,25.8
16.06,25.3
16.10,25.8
16.12,25.1
16.16,25.8
16.18,25.1
16.20,25.5
16.22,25.8
16.24,25.5
16.26,25.1
16.32,26.3
16.36,25.1
16.38,25.3
16.40,25.1
16.44,25.5
16.50,24.6
16.52,25.5
16.54,26
16.56,25.3
17.02,25.8
17.04,25.1
17.08,25.5
17.12,25.3
